Dis_to_TertiaryHistory2.tif,wh_df_dem.tif,wh_df_pre.tif,wh_df_slope.tif,wh_df_tem.tif,wh_dist_gov.tif,wh_dist_highspdstation.tif,wh_dist_highway.tif,wh_dist_openwater.tif,wh_dist_primary.tif,wh_dist_railway.tif,wh_dist_secondary.tif,wh_dist_trunk.tif,wh_gdp2010.tif,wh_Pop.tif,wh_soiltype.tif,Type
0.0710531,0.215434,0.125714,0.0188143,0.236024,0.659254,0.293889,0.16081,0.887518,0.103487,0.214511,0.0743526,0.42442,0.00329839,3.98486e-05,0.241908,0
0.090109,0.215434,0.12,0,0.279503,0.556064,0.325661,0.00773203,0.571135,0.435174,0.22107,0.248295,0.362321,0.00867345,0.00266985,0.465077,0
0.0766909,0.215434,0.12,0.034687,0.291925,0.531622,0.31049,0.0338862,0.475979,0.52274,0.215853,0.325201,0.347591,0.00284879,0,0.90971,0
0.016146,0.21865,0.131429,0.058868,0.335403,0.491254,0.268525,0.0910462,0.325548,0.590158,0.215341,0.368931,0.320498,0.00439001,0.000717274,0.449744,0
0.0328774,0.237942,0.0285714,0.109496,0.21118,0.878183,0.343124,0.170788,0.360741,0.251733,0.0175158,0.583252,0.478105,0.0791684,0,0.255537,0
0.00713211,0.241158,0.137143,0.0303343,0.360248,0.421635,0.194497,0.165908,0.0836789,0.231707,0.197957,0.30533,0.258895,0.0236604,0.00406455,0.449744,0
0.0782097,0.21865,0.131429,0.0531932,0.279503,0.560837,0.323636,0,0.603558,0.408639,0.225105,0.231829,0.366011,0.00867345,0.00266985,0.465077,0
0.297717,0.22508,0.24,0.0266059,0.37267,0.443909,0.10723,0.0630773,0,0.0750992,0.0597953,0.333201,0.246585,0.00213663,0,0.449744,1
0.157008,0.21865,0.0685714,0.0188143,0.236025,0.817063,0.319752,0.165516,0.437431,0.238815,0.0689174,0.400401,0.496445,0.00326314,0.0082885,0.255537,0
0.302127,0.221865,0.24,0.0677888,0.37267,0.443577,0.105648,0.0602695,0,0.072183,0.0577359,0.327785,0.246097,0.00213663,0,0.449744,1
0.0203296,0.22508,0.131429,0.0420602,0.329192,0.498221,0.283435,0.0670383,0.378008,0.625619,0.219463,0.371763,0.326062,0.00286424,0,0.90971,0
0.0680827,0.209003,0.131429,0.037622,0.279503,0.571115,0.319907,0.0211994,0.655903,0.366183,0.230654,0.209078,0.372609,0.0032261,0,0.465077,0
0.0428669,0.215434,0.125714,0,0.242236,0.620484,0.303932,0.106598,0.840844,0.20432,0.241208,0.133928,0.402759,0.00332423,0,0.241908,0
0.208195,0.215434,0.222857,0.0356922,0.397515,0.436197,0.219971,0.174017,0.200885,0.388582,0.223584,0.309605,0.281184,0.00227093,0.00920502,0.449744,0
0.111407,0.21865,0.217143,0.034687,0.385093,0.424878,0.207579,0.198588,0.171863,0.337735,0.224614,0.296217,0.270241,0.00417772,0.00669456,0.449744,0
0.0178303,0.234727,0.154286,0.0865264,0.366459,0.416218,0.199363,0.145364,0.0311274,0.194359,0.172079,0.294402,0.252328,0.0308045,0.00406455,0.449744,0
0.0634918,0.234727,0.177143,0.183527,0.347825,0.419951,0.203727,0.191328,0.151869,0.300209,0.225645,0.287594,0.26515,0.0158454,0.00669456,0.90971,1
0.030259,0.212219,0.137143,0.0252408,0.242236,0.59533,0.312365,0.0672992,0.757797,0.278618,0.242086,0.174786,0.387641,0.00332423,0,0.465077,0
0.0882553,0.212219,0.114286,0.0420602,0.291925,0.521615,0.312774,0.0275809,0.484837,0.5307,0.223705,0.346855,0.342474,0.00284879,0,0.465077,0
0.0178303,0.231511,0.0285714,0.0266059,0.21118,0.873937,0.348477,0.160823,0.335967,0.269419,0.0138235,0.572621,0.474155,0.0791684,0.168799,0.255537,1
0.0554748,0.212219,0.137143,0.0356922,0.242236,0.576364,0.319095,0.0373309,0.692721,0.336995,0.236656,0.203474,0.376541,0.0032261,0,0.465077,0
0.0609889,0.21865,0.114286,0.0237975,0.291925,0.553523,0.329335,0,0.608429,0.413946,0.230769,0.249867,0.362386,0.00867345,0.00266985,0.465077,0
0.202497,0.212219,0.211429,0.124772,0.372671,0.439909,0.22981,0.158101,0.225196,0.41358,0.225645,0.309123,0.285881,0.00227093,0.00920502,0.449744,0
